Semester|Program Code|Program Short Name|Course Code|Course Name|Credit|ECTS Credit|Course Section|Capacity|Day1|Start Hour1|End Hour1|Instructor Name|Instructor Title|Language of Instruction|Level of Study|Course Objectives|Course Learning Outcomes|Course Content
2024-2025 Fall|909|MMI|9090505|GAME DEVELOPMENT PIPELINE|3|8.0|1|20|Thursday|09:40|12:30|ELİF SÜRER|Assoc.Prof.Dr.|English|Masters|The course aims to present a historical and technical knowledge in evolution of video games. Major topics related with game development and design will be covered that give the students insight on this field and help them select their elective courses more consciously. Design components and processes, recent techniques in game development, widely accepted software and game engines and special topics in the field will be covered in the scope of the course. Having knowledge on these issues will give students the chance to select a specialization area to concentrate on, with awareness on all important concepts of game design, development and production.|On completion of this course,the learner will have in-depth knowledge of game componentsthe learner will be able to critically analyze existing gamesthe learner will be able to design and develop a new game and implement effective design, production and testing techniques through all phases of game development|The course aims to present a historical and technical knowledge in evolation of video games. Major topics related with game development and design will be covered that give the students an insight on this field and help them select their elective courses more consciosly. Recent techniques in game development, widely accepted software and game engines, special topics in the field will be covered in the scope of the course. Having knowledge on these issues will give students the chance to select a specilization area to concentrate on, w,th awareness on all important concepts of game design, development and production, so recieve a higher quality education.
2024-2025 Fall|909|MMI|9090513|ALGORITHMS FOR INTERACTIVE SYSTEMS|3|8.0|1|15|Wednesday|09:40|12:30|HÜSEYİN HACIHABİBOĞLU|Prof.Dr.|English|Graduate|Via this course and by the successful completion thereof, the students will:Learn the fundamental algorithms that are used in interactive systems such as games, AR, VR, and MR applicationsUnderstand the proper use of variants of different algorithms as well as their interactionsImprove their algorithm development skills without getting hindered by lower level programming languages.Develop an interactive application using some of the algorithms taught during the course.||A practical understanding of algorithms is necessary to develop interactive systems such as games, virtual/augmented/mixed reality and other interactive applications. This course aims to teach algorithms relevant in the context of designing interactive systems. The topics to be covered include random number generation, noise generation, procedural content generation, tournament modelling, game trees, path finding, group movement modelling, decision making and modelling uncertainty. Networking related topics will also be covered. The course is predominantly practical where the algorithms and their use will be described and implementation of major algorithms will be demonstrated with collaborative coding tools in class using Python. The assessment will be via programming assignments and a term project.
2024-2025 Fall|909|MMI|9090522|PROCEDURAL SOUND DESIGN|3|8.0|1|15|Friday|09:40|12:30|HÜSEYİN HACIHABİBOĞLU|Prof.Dr.|English|Graduate|Manual generation of game assets is a time consuming and costly process. In addition fixed, uncontrollable assets do not allow the modification of content with interaction. Procedural content generation is the name given to the set of techniques that focus on designing models that can be parametrically controlled. Procedural content generation and design are slowly becoming the norm in game development. The major advantage of procedural sound design is the substantial reduction in the effort required to record sounds. In addition it allows the game designer to avoid repetition by parametrically modifying the sound synthesis algorithms and the sounds that they generate in effect.The objective of this course is to equip the students with the knowledge, skills and tools needed to generate natural sounding, parametrically controllable artificial sound synthesis algorithms and sound effects.|Upon successful completion of this course the students will:learn the basic concepts of procedural sound design,learn the basics of human auditory system, auditory cognition, auditory memorylearn to use the Pure Data graphical programming languagelearn the basic artificial sound synthesis techniqueslearn to carry out modular analysis on sounding objects and combine different components in a meaningful and systematic waylearn about event-based parametric sound synthesis modelsgain practical experience in designing a variety of sound effects that can be used in gamesdesign, test, and deploy their first parametric sound synthesis model|Games are interactive applications and game worlds change with interaction. Audio content in games and virtual reality are typically canned recordings that are impossible to modify during runtime, preventing interactivity, causing repetition and increasing the memory footprint. Procedural audio generation by using interactive synthesis algorithms is a solution to circumvent these problems. This course aims to introduce the students to the concepts and underpinnings of procedural audio as well as give them the practical knowhow on procedural sound design for games.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|1|5||||HANDE ALEMDAR|Assoc.Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|2|0||||STAFF|-|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|3|15||||HÜSEYİN HACIHABİBOĞLU|Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|4|0||||UĞUR HALICI|Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|5|5||||AHMET OĞUZ AKYÜZ|Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|6|15||||ALPTEKİN TEMİZEL|Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|7|5||||SANİYE TUĞBA TOKEL|Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|8|15||||ERDEM AKAGÜNDÜZ|Assoc.Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|9|5||||GÖKNUR KAPLAN|Assoc.Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|10|5||||YUSUF SAHİLLİOĞLU|Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|11|15||||ELİF SÜRER|Assoc.Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090599|MASTERS THESIS|0|50.0|12|5||||SEVGİ ÖZKAN YILDIRIM|Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|909|MMI|9090699|PH.D. THESIS|0|130.0|1|10||||ALPTEKİN TEMİZEL|Prof.Dr.|English|Graduate|||Program of research leading to Ph.D. degree, arranged between a student and the faculty member. Students register to this course in all semesters preferably starting from the beginning of their second semester but not later than the beginning of the third semester while the research program or write up of the dissertation is in progress.
2024-2025 Fall|909|MMI|9090699|PH.D. THESIS|0|130.0|2|10||||HÜSEYİN HACIHABİBOĞLU|Prof.Dr.|English|Graduate|||Program of research leading to Ph.D. degree, arranged between a student and the faculty member. Students register to this course in all semesters preferably starting from the beginning of their second semester but not later than the beginning of the third semester while the research program or write up of the dissertation is in progress.
2024-2025 Fall|909|MMI|9090699|PH.D. THESIS|0|130.0|3|10||||ELİF SÜRER|Assoc.Prof.Dr.|English|Graduate|||Program of research leading to Ph.D. degree, arranged between a student and the faculty member. Students register to this course in all semesters preferably starting from the beginning of their second semester but not later than the beginning of the third semester while the research program or write up of the dissertation is in progress.
2024-2025 Fall|909|MMI|9090699|PH.D. THESIS|0|130.0|4|5||||ERDEM AKAGÜNDÜZ|Assoc.Prof.Dr.|English|Graduate|||Program of research leading to Ph.D. degree, arranged between a student and the faculty member. Students register to this course in all semesters preferably starting from the beginning of their second semester but not later than the beginning of the third semester while the research program or write up of the dissertation is in progress.
2024-2025 Fall|909|MMI|9090712|MACHINE LEARNING SYSTEMS DESIGN AND DEPLOYMENT|3|8.0|1|27|Wednesday|13:40|16:30|ALPTEKİN TEMİZEL|Prof.Dr.|English|Graduate|Via this course, the students will have a grasp on the ML system development pipeline and by the successful completion thereof, the students will be able to:compare and contrast ML system design with traditional software designcreate and manage training dataseteffectively develop and train modelsscale-up training for large modelsevaluate and calibrate models and debug ML systemstrack experiments and handle model versioningcompress and optimize the models and deploy them on various platforms||The course covers several aspects of designing reliable and scalable machine learning systems for real-world deployment. It deals with development of production quality models and introduces the machine learning pipeline, concepts on machine learning system design and data engineering. It provides know-how on model development, and how to scale up the training for large models as well as evaluation, calibration and debugging of these models. Generation of reproducible models via experiment tracking tools and model versioning is also covered. Hardware platforms and frameworks for deployment are introduced, followed by basic deployment concepts, containerized deployment and testing.
