Semester|Program Code|Program Short Name|Course Code|Course Name|Credit|ECTS Credit|Course Section|Capacity|Day1|Start Hour1|End Hour1|Instructor Name|Instructor Title|Language of Instruction|Level of Study|Course Objectives|Course Learning Outcomes|Course Content
2024-2025 Fall|908|BIN|9080500|PROGRAMMING FOR INFORMATICS|3|8.0|1|20|Monday|09:40|12:30|BURÇAK OTLU SARITAŞ|Assist.Prof.Dr|English|Graduate|The course objective is to provide first knowledge and basic skill of programming with Python.Introduction to programming concepts using PythonUnderstanding the data types and structures.Writing programs by using Python.Solving problems with scientific computations in Python.Debugging programs|The course objective is to provide first knowledge and basic skill of programming with Python.·       Introduction to programming concepts using Python·       Understanding the data types and structures.·       Writing programs by using Python.·       Solving problems with scientific computations in Python.·       Debugging programs|The course is an introduction to scientific computation and computer programming for graduate students with no prior programming background. Students will learn how to solve scientific problems with programming, how to write a complete program that gets inputs, perform computations and gives outputs by using loops, functions, and different data types. The course covers scientific problems from different areas to be solved with Python programs, which is a popular, general-purpose, open-source language and widely used in several areas of informatics in both industry and research fields.
2024-2025 Fall|908|BIN|9080502|STATISTICAL METHODS FOR INFORMATICS|3|8.0|1|15|Tuesday|13:40|16:30|SEHER NUR SÜLKÜ|Prof.Dr.|English|Masters|The main objective of this course is to introduce the participants to fundamentals of statistical methods and probability theory providing examples from cases in informatics and bioinformatics research.|After successfully completing the course:Students will be able to summarize the data by exploratory and descriptive methods.Students will have a good grasp of combinatorics and the principles of probability and the concept of probability distributions.Students will gain working knowledge of common distributions, understand random variables and their algebra, conditionality and independence concepts.Students will gain working knowledge of statistical sampling, estimation and the Central Limit Theorem.Students will learn the properties of estimators and become familiar to different methods of estimation.Students will gain working knowledge of confidence intervals and hypothesis tests,Students will understand the concepts of ANOVA.|This course serves as a deficiency course for non-statisticians who are studying informatics at graduate level. Fundamentals of statistical methods and probability theory will be covered with specific examples and applications from cases in informatics and bioinformatics research. The topics offered in this course are; Counting, permutations and combinations, axioms of probability, conditional probability and independence, random variables, basic distributions of discrete and continuous random variables, functions of random variables, expectation, variance, covariance and correlation, sampling distributions, the central limit theorem, estimation and confidence intervals, bias, sufficiency, efficiency and consistency of estimators, hypothesis testing, common tests, error types. Non-parametric tests. Linear regression and ANOVA.
2024-2025 Fall|908|BIN|9080503|BIOLOGICAL DATABASES AND DATA ANALYSIS TOOLS|3|8.0|1|15|Tuesday|08:40|11:30|ESRA NALBAT|Res.Dr.|English|Graduate|At the end of this course, the student will:Learn basic information on database concepts, relational algebra and entity-relationship diagrams.Learn using SQL to construct a database from scratch and writing queries to retrieve data.Have the skill to find biological information from available databases, to process these data and to use available tools to visualize and to analyze the data.Have the skill to integrate data from multiple sources.Improve her/his writing and presentation skills.|Student, who passed the course will satisfactorily be able to:Understand database systems concepts and possess the knowledge about how to use available biological databases and data analysis tools efficiently.Integrate data from several databases using available tools.Construct a new database using the data they have retrieved.Utilize Structured Query Language (SQL) to construct a relational database, to retrieve data and update a relational database.|This course provides an in-depth review of the publicly available software tools and biological databases. Different types of biological data will be introduced and techniques for organization of biological data will be discussed. Also, the course will cover extensive use of web- based bioinformatics environments for investigation and analysis of biological data.
2024-2025 Fall|908|BIN|9080504|PROBABILISTIC AND STATISTICAL MODELING FOR BIOINFORMATICS|3|8.0|1|30|Friday|09:40|12:30|AYBAR CAN ACAR|Assist.Prof.Dr|English|Graduate|The objectives of the course are:To expose students to the fundamentals of statistical and probabilistic techniques used in bioinformatics.Statistical issues of biological dataParticulars of common bioinformatics analysesPeculiarities of high-throughput experimental dataTo enable them to apply these techniques on a computational platform|By the end of the course, students should be able to:Model biological experimental data using probabilistic distirbutionsHave a working knowledge of the R and Python environmentsBe able to design statistically sound high-throughput experimentsCluster, visualize, and summarize large amounts of, and highly multidimensional, biodataDevise accurate regression models for variables of interest, given this type of biodata|This course will introduce statistical modeling and inference techniques applied to biological problems. The course will cover standard statistical methods, such as multiple regression and principle component analysis, and more recent statistical techniques, such as maximum likelihood methods. Among the techniques covered will be Monte-Carlo-Markov chains using the Metropolis-Hastings algorithm and Gibbs sampling. In addition, the course will cover the use of statistical techniques such as Hidden Markov Models to model family of sequence and structures. Kernel methods and Support Vector Machines for computational biology will also be covered.
2024-2025 Fall|908|BIN|9080506|PROTEIN AND DNA SEQUENCE ANALYSIS|3|8.0|1|20|Wednesday|09:40|12:30|YEŞİM AYDIN SON|Assoc.Prof.Dr.|English|Graduate|At the end of the course student will know about different seqeuence analysis methods.Students will learn application areas of different sequence analysis methods.The course will provide basic skills needed for biological sequence analysis|After  sucessully completing the course :Students will be able to define sequence analysis methodsStudents will be able to state different application areas of sequence analysisStudent will be able to recall and select appropiate tools for different sequence analysis applicationsStudents will determine the correct  parameters for the analysis and perform variety of sequence analysisStudents will be able to interpret the results of sequence analysis methodsStudents will prepare a report on a selected sequece and evaluate its biological characteristicsStudents are expected to be able to critique currents publications on sequence analysis|This course will cover the methods of DNA and protein sequence analysis in depth including analysis of homology, identification of motifs and domains, pair-wise and multiple alignments, and statistical significance of sequence alignments. The course will also cover sequence and motif databases such as GeneBank, SwissProt, Protiste, and Pfam.
2024-2025 Fall|908|BIN|9080508|NEXT GENERATION SEQUENCE ANALYSIS AND INFORMATICS|3|8.0|1|15|Tuesday|09:40|12:30|YEŞİM AYDIN SON|Assoc.Prof.Dr.|English|Graduate|The course is interdisciplinary level elective course to be taken by the students from both biological and computational sciences. The aim is to provide an introduction to the recent next-generation nucleic acid sequencing (NGS) data analysis methods and cope with rapidly growing NGS data on various health topics to Masters and Ph.D. students for their future thesis projects.|Upon completion of the course, students:learn the most recent nucleotide sequencing laboratory technologies  and define, explain, and correctly use terms and concepts used to describe novel NGS technologyget familiar with best-practice methods and pipelines for NGS data analysis in detail.understand data structures and algorithms for the NGS technologies and applications including variant detection, ChIP-seq, RNA-seq, de novo assembly, and targeted sequencing.apply computational frameworks and toolkits with raw data.able to use SAMTools, BedTools, BWA, TopHat/Cufflinks, GATK, QIIME, R, and Galaxy (term project)|Next Generation Sequence Analysis and Informatics course provides an introduction to methods for next-generation nucleic acid sequencing (NGS) data analysis. Students will learn most recent high-thoughput sequencing laboratory technologies and informatics tools for data analyses. Up to date best-practice methods and road maps will be discussed in detail. Data structures and algorithms for the NGS technologies and applications including variant detection, CHIP-seq, RNA-seq, de novo assembly, and targeted sequencing will be covered. Computational frameworks and toolkits such as SAMTools, BedTools, BWA, TopHat/Cufflinks, GATK, QIIME, R, and Galaxy will be exploited using sample data. The coursework involves case studies, one term project, homework assignments and exams.
2024-2025 Fall|908|BIN|9080511|APPLICATIONS OF BIOINFORMATICS IN MOLECULAR BIOLOGY|3|8.0|1|15|Thursday|09:40|12:30|ESRA NALBAT|Res.Dr.|English|Graduate|The objectives of this course are;to give students an introduction to the basic practical techniques of bioinformatics.to make students familliar with relevant databases and tools available online.to provide knowledge about application of bioinformatics and biological databases to problem solving in real research problems.|By the end of the course the students will be able to use bioinformatics tools and be able to apply this knowledge and experience to their research.|This course aims to introduce frequently used bioinformatics tools to non-bioinformaticians and will discuss the basic concepts of bioinformatics. Recent developments in biological sciences have produced a wealth of experimental data of sequences and three-dimensional structures of biological macromolecules. With the advances of computer and informational sciences, these data and tools to analyse the data is available from a variety of public sources. The main focus of the course will be to teach how to access, handle and interpret this rapidly expanding amount of biological information at an introduction level. Practical section of the course will emphasize on how to use the computer and bioinformatics applications to aid  in biological research.
2024-2025 Fall|908|BIN|9080517|STATISTICAL LEARNING FOR BIOINFORMATICS|3|8.0|1|15|Tuesday|13:40|16:30|BURÇAK OTLU SARITAŞ|Assist.Prof.Dr|English|Graduate|||This course covers key concepts in statistical learning, specifically regression, classification, resampling methods, linear model selection, regularization; moves beyond linearity; explores tree-based methods, support vector machines, deep learning, survival analysis, unsupervised learning, and multiple testing. Course provides all these concepts and showcase them through Jupyter notebooks, which allow to run Python code. This course is comprehensive in terms of statistical learning methods it covers and focused on the applications of these methods in Python.
2024-2025 Fall|908|BIN|9080599|MASTERS  THESIS|0|50.0|1|15||||YEŞİM AYDIN SON|Assoc.Prof.Dr.|English|Masters|||Program of research leading to M.S. degree, arranged between students and a faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or thesis writing is in progress.
2024-2025 Fall|908|BIN|9080599|MASTERS  THESIS|0|50.0|2|15||||AYBAR CAN ACAR|Assist.Prof.Dr|English|Masters|||Program of research leading to M.S. degree, arranged between students and a faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or thesis writing is in progress.
2024-2025 Fall|908|BIN|9080599|MASTERS  THESIS|0|50.0|3|5||||TOLGA ESAT ÖZKURT|Assoc.Prof.Dr.|English|Masters|||Program of research leading to M.S. degree, arranged between students and a faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or thesis writing is in progress.
2024-2025 Fall|908|BIN|9080599|MASTERS  THESIS|0|50.0|4|15||||BURÇAK OTLU SARITAŞ|Assist.Prof.Dr|English|Masters|||Program of research leading to M.S. degree, arranged between students and a faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or thesis writing is in progress.
2024-2025 Fall|908|BIN|9080599|MASTERS  THESIS|0|50.0|5|5||||VİLDA PURUTÇUOĞLU|Prof.Dr.|English|Masters|||Program of research leading to M.S. degree, arranged between students and a faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or thesis writing is in progress.
2024-2025 Fall|908|BIN|9080599|MASTERS  THESIS|0|50.0|6|0||||STAFF|-|English|Masters|||Program of research leading to M.S. degree, arranged between students and a faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or thesis writing is in progress.
2024-2025 Fall|908|BIN|9080599|MASTERS  THESIS|0|50.0|7|0||||STAFF|-|English|Masters|||Program of research leading to M.S. degree, arranged between students and a faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or thesis writing is in progress.
2024-2025 Fall|908|BIN|9080599|MASTERS  THESIS|0|50.0|8|5||||MEHMET SOMEL|Prof.Dr.|English|Masters|||Program of research leading to M.S. degree, arranged between students and a faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or thesis writing is in progress.
2024-2025 Fall|908|BIN|9080599|MASTERS  THESIS|0|50.0|9|5||||AYŞEN AKKAYA|Prof.Dr.|English|Masters|||Program of research leading to M.S. degree, arranged between students and a faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or thesis writing is in progress.
2024-2025 Fall|908|BIN|9080801|SPECIAL STUDIES|0|10.0|1|15|Thursday|13:40|17:30|YEŞİM AYDIN SON|Assoc.Prof.Dr.|||||
2024-2025 Fall|908|BIN|9080802|SPECIAL STUDIES|0|10.0|1|15|Wednesday|08:40|12:30|AYBAR CAN ACAR|Assist.Prof.Dr|||||
2024-2025 Fall|908|BIN|9080803|SPECIAL STUDIES|0|10.0|1|5|Wednesday|09:40|13:30|TOLGA ESAT ÖZKURT|Assoc.Prof.Dr.|||||
2024-2025 Fall|908|BIN|9080804|SPECIAL STUDIES|0|10.0|1|15|Wednesday|09:40|11:30|BURÇAK OTLU SARITAŞ|Assist.Prof.Dr|||||
2024-2025 Fall|908|BIN|9080805|SPECIAL STUDIES|0|10.0|1|5||||VİLDA PURUTÇUOĞLU|Prof.Dr.|||||
2024-2025 Fall|908|BIN|9080806|SPECIAL STUDIES|0|10.0|1|0||||STAFF|-|||||
2024-2025 Fall|908|BIN|9080807|SPECIAL STUDIES|0|10.0|1|0||||STAFF|-|||||
2024-2025 Fall|908|BIN|9080808|SPECIAL STUDIES|0|15.0|1|5||||MEHMET SOMEL|Prof.Dr.|||||
2024-2025 Fall|908|BIN|9080809|SPECIAL STUDI|0|15.0|1|5||||AYŞEN AKKAYA|Prof.Dr.|||||
