Program Code|Program Short Name|Program Long Name|Course Code|Credit|ECTS Credit|Course Section|Capacity|Language of Instruction|Start Hour1|End Hour1|Day1|Instructor Name|Level of Study|Prerequisite|Course Objectives|Course Content|Course Learning Outcomes
903|MS|MODELLING AND SIMULATION|9030515|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Simulation methodology and model building. Modelling with a simulation language. Random variate generation. Basic issues in the design, verification and validation of simulation models. Advanced simulation modelling concepts in process interaction orientation. Examples will be based on modelling of defense systems. Station submodels. Continuous and mixed simulation. Introductory output analysis for a single system and comparison alternatives.|Not Available
903|MS|MODELLING AND SIMULATION|9030503|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|The aim of this course is to develop better skills in building and understanding mathematical modelling. Deterministic models in the areas of transportation, distribution, location, production and economic planning are analyzed.|Not Available
903|MS|MODELLING AND SIMULATION|9030522|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Introduction to computer graphics. The rendering pipeline.  Rasterization algorithms. Two-dimensional and three-dimensional transformations. Quaternions. Hierarchical modelling. Animation. Viewing transformations. Rendering basics. Illumination and color models. Geometrical Modelling. Hidden surface elimination problem. Shading, deformation, ray tracing, texture mapping, fractal representation and various other advanced techniques are discussed.|Not Available
903|MS|MODELLING AND SIMULATION|9030502|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Review of probability theory and random variables. Sequence and functions of random variables, convergence concepts. Stochastic processes. Queuing problems based on birth and death models. Introduction to renewal theory. Applications in reliability and replacement models. Poisson processes, shot noise; Markov processes; statistical inference, least mean square error estimation.|Not Available
903|MS|MODELLING AND SIMULATION|9030724|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|The course consists of two main sections which will be covered in half-semester duration each. First part will be on computer gaming. It will provide an introduction to the theories of gaming and game culture. Cognitive/social factors and the design of computer games will be examined as well. Second part will be on virtual environments. The emphasis is on creating virtual worlds, display technologies, interaction techniques, tracking technologies and human factors.|Not Available
903|MS|MODELLING AND SIMULATION|9030513|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Decision making under uncertainty. Maximizing expected monetary value. Maximizing expected utility. Judgmental probabilities. Value of information. Normal form of analysis. Risk sharing.|Not Available
903|MS|MODELLING AND SIMULATION|9030591|0|10|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Not Available|Not Available
903|MS|MODELLING AND SIMULATION|9030590|0|10|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|This course is designed to expose MODSIM students to various research areas in modeling and simulation. Speakers from the industry and academia are invited to give talks in their field of interest. Second year MODSIM students with significant modeling and simulation experience may also be asked to present their projects.|Not Available
903|MS|MODELLING AND SIMULATION|9030504|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Basic LP models. Lanchester models. Deterministic combat models. Probabilistic combat models. Homogenous combat models. Heterogenous combat models. Mathematical models of combat. War games.  Estimation of attrition rates. Weapon effectiveness indices.|Not Available
903|MS|MODELLING AND SIMULATION|9030531|0|10|0|0|English|Not Available|Not Available|Not Available|Prof.Dr. MEHMET HALİT S. OĞUZTÜZÜN|Graduate|Not Available|Not Available|Fundamentals of distributed discrete event simulation. Distributed interactive simulation and networked virtual environments. High Level Architecture. Federation development and execution process. Conceptual models of mission space. Verification and validation. Synthetic environments.|Not Available
903|MS|MODELLING AND SIMULATION|9030506|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|What is combinatorics? Basic counting rules. Recurrence relations. Divide and conquer algorithms. Deterministic Decision Models Methods: Linear programming, integer programming, nonlinear programming, enumeration, dynamic programming. Analysis of algorithms: worst case, average. Applications: knapsack, travelling  salesman, chinese postman, spanning tree, steiner tree, graph partitioning, cell formation, assembly line balancing. Meta heuristics: greedy, divide and conquer, local search: interchange, look-ahead, simulated annealing, genetic algorithms, neural networks.|Not Available
903|MS|MODELLING AND SIMULATION|9030592|0|20|0|0|English|Not Available|Not Available|Not Available||Masters|Not Available|Not Available|Not Available|Not Available
903|MS|MODELLING AND SIMULATION|9030501|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Introduction to the methodology of deterministic decision models. Kuhn-Tucker conditions of optimality. Linear programming using the simplex method. Duality theory. The dual simplex method and post optimality analysis. Parametric linear programming. The transportation algorithm. Transshipment and assignment problems. Integer programming models and an introduction to enumerative algorithms. Dynamic programming.|Not Available
903|MS|MODELLING AND SIMULATION|9030521|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Review of data structures using C++. Introduction to Object Oriented Programming Languages. Abstraction, approaches to modular program design, principles of abstract data types, basic concepts of objects: local variables and methods. Classes and instances, single and multiple inheritance and object hierarchies. Principles of object-oriented software development. Overview of and experience with the object-oriented programming environments such as C++, Java, through programming assignments and possibly a term project.|Not Available
903|MS|MODELLING AND SIMULATION|9030701|0|8|0|0|English|Not Available|Not Available|Not Available||Graduate|Not Available|Not Available|Not Available|Not Available
