Course Code,Course Name,METU Credit,Contact (h/w),Lab (h/w),ECTS,URL
MI500,RESEARCH METHODS AND ETHICS,0,0,0,10.0,course.php?prog=906&course_code=9060500
MI502,INTRODUCTION TO MEDICAL INFORMATICS,3,3,0,8.0,course.php?prog=906&course_code=9060502
MI503,EHR:REPRESENTATION STANDARDS AND CODING,3,3,0,8.0,course.php?prog=906&course_code=9060503
MI505,"NEUROLMAGING:ANATOMY, PHYSIOLOGY AND FUNCTION OF THE HUMAN BRAIN",3,0,0,8.0,course.php?prog=906&course_code=9060505
MI506,ADVANCED NEUROIMAGING WITH MAGNETIC RESONANCE IMAGING,3,3,0,8.0,course.php?prog=906&course_code=9060506
MI508,SYSTEMIC HUMAN PHYSIOLOGY,3,3,0,8.0,course.php?prog=906&course_code=9060508
MI524,"FUNDAMENTALS OF MEDICAL IMAGING: ACQUISITION, RECONSTRUCTION",3,3,0,8.0,course.php?prog=906&course_code=9060524
MI528,FUNDAMENTALS OF MATHEMATICS FOR INFORMATION SYSTEMS,3,3,0,8.0,course.php?prog=906&course_code=9060528
MI530,MEDICAL IMAGE ANALYSIS,3,3,0,8.0,course.php?prog=906&course_code=9060530
MI533,BRAIN DYNAMICS AND OSCILLATIONS,3,3,0,8.0,course.php?prog=906&course_code=9060533
MI535,BIOLOGICAL SIGNAL ANALYSIS,3,0,0,8.0,course.php?prog=906&course_code=9060535
MI537,NEURAL NETWORKS FOR BIOMEDICAL APPLICATIONS,3,0,0,8.0,course.php?prog=906&course_code=9060537
MI539,BIO-INSPIRED AND CLASSICAL OPTIMIZATION,3,0,0,8.0,course.php?prog=906&course_code=9060539
MI541,ADVANCED NEURAL OSCILLATORY ANALYSIS AND APPLICATIONS,3,3,0,8.0,course.php?prog=906&course_code=9060541
MI543,METHODOLOGY AND PHILOSOPHY OF NEUROSCIENCE,3,3,0,8.0,course.php?prog=906&course_code=9060543
MI545,OBJECT ORIENTED PROGRAMMING AND DATA STRUCTURES,3,3,0,8.0,course.php?prog=906&course_code=9060545
MI550,SYSTEMS NEUROSCIENCE,3,0,0,8.0,course.php?prog=906&course_code=9060550
MI555,PRINCIPLES OF COGNITIVE NEUROSCIENCE,3,0,0,8.0,course.php?prog=906&course_code=9060555
MI565,BIOLOGICAL FOUNDATIONS OF PSYCHOLOGY,3,2,2,8.0,course.php?prog=906&course_code=9060565
MI589,TERM PROJECT,0,0,0,20.0,course.php?prog=906&course_code=9060589
MI590,GRADUATE SEMINAR,0,0,2,10.0,course.php?prog=906&course_code=9060590
MI599,MASTERS THESIS,0,0,0,50.0,course.php?prog=906&course_code=9060599
MI699,PHD THESIS,0,0,0,130.0,course.php?prog=906&course_code=9060699
MI701,NETWORKING FOR HEALTH INF. SYS. AND TELEHEALTH,3,3,0,8.0,course.php?prog=906&course_code=9060701
MI702,HEALTH ECONOMETRICS AND EVALUATION METHODS,3,3,0,8.0,course.php?prog=906&course_code=9060702
MI703,MEDICAL IMAGING APPLICATIONS,3,3,0,8.0,course.php?prog=906&course_code=9060703
MI704,REASONING UNDER UNCERTAINTY,3,3,0,8.0,course.php?prog=906&course_code=9060704
MI710,DATABASE APPLICATIONS FOR MEDICAL INFORMATICS,3,3,0,8.0,course.php?prog=906&course_code=9060710
MI711,ADVANCED TOPICS IN MEDICAL IMAGE ANALYSIS,3,3,0,8.0,course.php?prog=906&course_code=9060711
MI715,FUTURE STUDIES FOR HEALTHCARE,3,3,0,8.0,course.php?prog=906&course_code=9060715
MI717,MOBILE HEALTH,3,3,0,8.0,course.php?prog=906&course_code=9060717
MI720,PATTERN CLASSIFICATION FOR BIO-MEDICAL APPLICATIONS,3,3,0,8.0,course.php?prog=906&course_code=9060720
