Course Code,Course Name,METU Credit,Contact (h/w),Lab (h/w),ECTS,URL
MMI505,GAME DEVELOPMENT PIPELINE,3,0,0,8.0,course.php?prog=909&course_code=9090505
MMI508,GAME METRICS,3,3,0,8.0,course.php?prog=909&course_code=9090508
MMI511,GAME AESTHETICS,3,3,0,8.0,course.php?prog=909&course_code=9090511
MMI513,ALGORITHMS FOR INTERACTIVE SYSTEMS,3,3,0,8.0,course.php?prog=909&course_code=9090513
MMI522,PROCEDURAL SOUND DESIGN,3,0,0,8.0,course.php?prog=909&course_code=9090522
MMI538,COMPUTER GRAPHICS,3,3,0,8.0,course.php?prog=909&course_code=9090538
MMI540,3D GEOMETRIC MODELING AND PROCESSING,3,3,0,8.0,course.php?prog=909&course_code=9090540
MMI541,PHYSICS FOR COMPUTER GAMES,3,3,0,8.0,course.php?prog=909&course_code=9090541
MMI561,ARTIFICIAL INTELLIGENCE IN COMPUTER GAMES,3,3,0,8.0,course.php?prog=909&course_code=9090561
MMI590,GRADUATE SEMINAR,0,0,2,10.0,course.php?prog=909&course_code=9090590
MMI599,MASTERS THESIS,0,0,0,50.0,course.php?prog=909&course_code=9090599
MMI699,PH.D. THESIS,0,0,0,130.0,course.php?prog=909&course_code=9090699
MMI700,RESEARCH METHODS AND ETHICS,0,0,0,10.0,course.php?prog=909&course_code=9090700
MMI701,MULTIMEDIA SIGNAL PROCESSING,3,0,0,8.0,course.php?prog=909&course_code=9090701
MMI702,MACHINE LEARNING FOR MULTIMEDIA INFORMATICS,3,3,0,8.0,course.php?prog=909&course_code=9090702
MMI703,COMMUNICATION ACOUSTICS,3,3,0,8.0,course.php?prog=909&course_code=9090703
MMI704,"MOTION CAPTURE, ANALYSIS AND SYNTHESIS",3,3,0,8.0,course.php?prog=909&course_code=9090704
MMI705,NON-DIGITAL GAME DESIGN,3,3,0,8.0,course.php?prog=909&course_code=9090705
MMI706,REINFORCEMENT LEARNING,3,3,0,8.0,course.php?prog=909&course_code=9090706
MMI710,MODELING OUTDOOR VIRTUAL ENVIRONMENTS FOR SIMULATIONS AND GAMES,3,0,0,8.0,course.php?prog=909&course_code=9090710
MMI711,SEQUENCE MODELS IN MULTIMEDIA,3,3,0,8.0,course.php?prog=909&course_code=9090711
MMI712,MACHINE LEARNING SYSTEMS DESIGN AND DEPLOYMENT,3,3,0,8.0,course.php?prog=909&course_code=9090712
MMI713,APPLIED PARALLEL PROGRAMMING ON GPU,3,3,0,8.0,course.php?prog=909&course_code=9090713
MMI714,GENERATIVE MODELS FOR MULTIMEDIA,3,3,0,8.0,course.php?prog=909&course_code=9090714
MMI715,PSYCHOLOGY IN GAME DESIGN,3,3,0,7.5,course.php?prog=909&course_code=9090715
MMI716,Game Programming Patterns,3,3,0,8.0,course.php?prog=909&course_code=9090716
MMI722,AUDIO FOR GAMES AND VIRTUAL ENVIRONMENTS,3,0,0,8.0,course.php?prog=909&course_code=9090722
MMI724,MUSIC AND SOUND PRODUCTION FOR GAMES: AESTHETICS AND PRACTICE,3,0,0,8.0,course.php?prog=909&course_code=9090724
MMI725,GAMIFICATION AND PERSUASIVE GAMES,3,3,0,8.0,course.php?prog=909&course_code=9090725
MMI726,MULTIMEDIA STANDARDS,3,3,0,8.0,course.php?prog=909&course_code=9090726
MMI727,DEEP LEARNING: METHODS AND APPLICATIONS,3,3,0,8.0,course.php?prog=909&course_code=9090727
