Course Code,Course Name,METU Credit,Contact (h/w),Lab (h/w),ECTS,URL
BIN500,PROGRAMMING FOR INFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080500
BIN501,INTRODUCTION TO BIOINFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080501
BIN502,STATISTICAL METHODS FOR INFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080502
BIN503,BIOLOGICAL DATABASES AND DATA ANALYSIS TOOLS,3,0,0,8.0,course.php?prog=908&course_code=9080503
BIN504,PROBABILISTIC AND STATISTICAL MODELING FOR BIOINFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080504
BIN505,FOUNDATIONS OF SYSTEMS BIOLOGY,3,3,0,8.0,course.php?prog=908&course_code=9080505
BIN506,PROTEIN AND DNA SEQUENCE ANALYSIS,3,2,2,8.0,course.php?prog=908&course_code=9080506
BIN508,NEXT GENERATION SEQUENCE ANALYSIS AND INFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080508
BIN510,INTRODUCTION TO PATHWAY BIOINFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080510
BIN511,APPLICATIONS OF BIOINFORMATICS IN MOLECULAR BIOLOGY,3,3,0,8.0,course.php?prog=908&course_code=9080511
BIN515,STRUCTURAL BIOINFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080515
BIN517,STATISTICAL LEARNING FOR BIOINFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080517
BIN590,GRADUATE SEMINAR IN BIOINFORMATICS,0,0,2,10.0,course.php?prog=908&course_code=9080590
BIN595,MOLECULAR BIOLOGY FOR BIOINFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080595
BIN599,MASTERS  THESIS,0,0,0,50.0,course.php?prog=908&course_code=9080599
BIN712,COMPUTATIONAL METHODS IN BIOINFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080712
BIN714,MICROARRAY DATA ANALYSIS AND INFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080714
BIN717,CLINICAL BIOINFORMATICS,3,3,0,8.0,course.php?prog=908&course_code=9080717
BIN7999,INTERNATIONAL GRADUATE STUDENT PRACTICE,0,0,0,2.0,course.php?prog=908&course_code=9087999
